projectid,varname
88766379,2
88767922,1
88779196,3
88779320,2
88780415,5
88788306,15
88788710,5
88814930,2
88822326,2
88847358,7
88852550,3
88853122,1
88866263,2
88886179,1
88889483,3
88896162,3
88909171,22
88919642,1
88941950,1
88942912,3
88944016,2
88950702,2
88955284,2
88960519,1
88966476,1
88968957,1
88968990,1
88971519,1
88971580,2
88997837,2
89009120,1
89018244,3
89027867,1
89027913,4
89032240,1
89033887,2
89038279,3
89039743,2
89080106,1
89080299,2
89096613,249
89103837,1
89106707,5
89116155,1
89117721,272
89118177,1
89124879,15
89125039,4
89136613,1
89151286,1
89156940,33
89190418,2
89190504,2
89196215,2
89198231,5
89198502,1
89199138,1
89199362,3
89199364,2
89219574,1
89225047,1
89227026,2
89230152,2
89233805,1
89239915,12
89253026,1
89258181,2
89277732,1
89280358,97
89288223,1
89290133,1
89291818,2
89306083,2
89317411,7
89318042,2
89322259,1
89325493,13
89328418,2
89340455,5
89348322,4
89350502,3
89350622,97
89351369,1
89370498,2
89380177,1
89387216,2
89387380,1
89390580,3
89395400,5
89422629,1
89427901,16
89428497,2
89442661,2
89451749,8
89453359,1
89457986,2
89466801,1
89477331,3
89485292,7
89487965,3
89490158,1
89502956,15
89505574,40
89509977,1
89510288,1
89510683,2
89511083,1
89511430,2
89514764,3
89515268,2
89515610,3
89544020,1
89560322,1
89560453,1
89560534,33
89573455,1
89580242,1
89582587,1
89586399,1
89587552,9
89610083,1
89623029,6
89636784,2
89638122,4
89647869,4
89658469,2
89670437,1
89690168,1
89690632,7
89690662,1
89690746,1
89690923,1
89690938,1
89692393,1
89707965,7
89713748,3
89717818,4
89722905,1
89728700,4
89735087,1
89738289,1
89752993,3
89755126,2
89772972,2
89784264,2
89784389,1
89785409,1
89791275,4
89802763,3
89803670,2
89811193,33
89811205,2
89819433,1
89820336,2
89820888,1
89827089,1
89828528,2
89845960,2
89848055,1
89854576,1
89855016,1
89868773,2
89871941,2
89872176,1
89882860,9
89883005,1
89884076,6
89886378,2
89887375,4
89895275,1
89897543,1
89900266,12
89909039,1
89921157,1
89921798,5
89924440,1
89933092,2
89935601,3
89945963,4
89953162,1
89961431,2
89967494,2
89972483,2
89975999,1
89987195,1
89992335,1
89994827,1
89999112,2
90002945,1
90003960,1
90011125,4
90017960,1
90033356,1
90043949,1
90046693,31
90048813,3
90052407,6
90055903,1
90061007,3
90071442,2
90081101,7
90082848,1
90084535,2
90095475,1
90100300,1
90101364,1
90107559,1
90111212,1
90111524,74
90113609,6
90118647,6
90119300,5
90121010,5
90124380,3
90128235,7
90131955,2
90134668,2
90135272,1
90138557,2
90139161,3
90139172,5
90140812,3
90140978,5
90143480,3
90146740,2
90148367,1
90167562,1
